がく片の長さ,がく片の幅,花びらの長さ,花びらの幅,教師データー,アヤメの種類
5.1,3.5,1.4,0.2,0,ヒオウギアヤメ
4.9,3,1.4,0.2,0,ヒオウギアヤメ
4.7,3.2,1.3,0.2,0,ヒオウギアヤメ
4.6,3.1,1.5,0.2,0,ヒオウギアヤメ
5,3.6,1.4,0.2,0,ヒオウギアヤメ
5.4,3.9,1.7,0.4,0,ヒオウギアヤメ
4.6,3.4,1.4,0.3,0,ヒオウギアヤメ
5,3.4,1.5,0.2,0,ヒオウギアヤメ
4.4,2.9,1.4,0.2,0,ヒオウギアヤメ
4.9,3.1,1.5,0.1,0,ヒオウギアヤメ
5.4,3.7,1.5,0.2,0,ヒオウギアヤメ
4.8,3.4,1.6,0.2,0,ヒオウギアヤメ
4.8,3,1.4,0.1,0,ヒオウギアヤメ
4.3,3,1.1,0.1,0,ヒオウギアヤメ
5.8,4,1.2,0.2,0,ヒオウギアヤメ
5.7,4.4,1.5,0.4,0,ヒオウギアヤメ
5.4,3.9,1.3,0.4,0,ヒオウギアヤメ
5.1,3.5,1.4,0.3,0,ヒオウギアヤメ
5.7,3.8,1.7,0.3,0,ヒオウギアヤメ
5.1,3.8,1.5,0.3,0,ヒオウギアヤメ
5.4,3.4,1.7,0.2,0,ヒオウギアヤメ
5.1,3.7,1.5,0.4,0,ヒオウギアヤメ
4.6,3.6,1,0.2,0,ヒオウギアヤメ
5.1,3.3,1.7,0.5,0,ヒオウギアヤメ
4.8,3.4,1.9,0.2,0,ヒオウギアヤメ
5,3,1.6,0.2,0,ヒオウギアヤメ
5,3.4,1.6,0.4,0,ヒオウギアヤメ
5.2,3.5,1.5,0.2,0,ヒオウギアヤメ
5.2,3.4,1.4,0.2,0,ヒオウギアヤメ
4.7,3.2,1.6,0.2,0,ヒオウギアヤメ
4.8,3.1,1.6,0.2,0,ヒオウギアヤメ
5.4,3.4,1.5,0.4,0,ヒオウギアヤメ
5.2,4.1,1.5,0.1,0,ヒオウギアヤメ
5.5,4.2,1.4,0.2,0,ヒオウギアヤメ
4.9,3.1,1.5,0.2,0,ヒオウギアヤメ
5,3.2,1.2,0.2,0,ヒオウギアヤメ
5.5,3.5,1.3,0.2,0,ヒオウギアヤメ
4.9,3.6,1.4,0.1,0,ヒオウギアヤメ
4.4,3,1.3,0.2,0,ヒオウギアヤメ
5.1,3.4,1.5,0.2,0,ヒオウギアヤメ
7,3.2,4.7,1.4,1,ブルーフラッグ
6.4,3.2,4.5,1.5,1,ブルーフラッグ
6.9,3.1,4.9,1.5,1,ブルーフラッグ
5.5,2.3,4,1.3,1,ブルーフラッグ
6.5,2.8,4.6,1.5,1,ブルーフラッグ
5.7,2.8,4.5,1.3,1,ブルーフラッグ
6.3,3.3,4.7,1.6,1,ブルーフラッグ
4.9,2.4,3.3,1,1,ブルーフラッグ
6.6,2.9,4.6,1.3,1,ブルーフラッグ
5.2,2.7,3.9,1.4,1,ブルーフラッグ
5,2,3.5,1,1,ブルーフラッグ
5.9,3,4.2,1.5,1,ブルーフラッグ
6,2.2,4,1,1,ブルーフラッグ
6.1,2.9,4.7,1.4,1,ブルーフラッグ
5.6,2.9,3.6,1.3,1,ブルーフラッグ
6.7,3.1,4.4,1.4,1,ブルーフラッグ
5.6,3,4.5,1.5,1,ブルーフラッグ
5.8,2.7,4.1,1,1,ブルーフラッグ
6.2,2.2,4.5,1.5,1,ブルーフラッグ
5.6,2.5,3.9,1.1,1,ブルーフラッグ
5.9,3.2,4.8,1.8,1,ブルーフラッグ
6.1,2.8,4,1.3,1,ブルーフラッグ
6.3,2.5,4.9,1.5,1,ブルーフラッグ
6.1,2.8,4.7,1.2,1,ブルーフラッグ
6.4,2.9,4.3,1.3,1,ブルーフラッグ
6.6,3,4.4,1.4,1,ブルーフラッグ
6.8,2.8,4.8,1.4,1,ブルーフラッグ
6.7,3,5,1.7,1,ブルーフラッグ
6,2.9,4.5,1.5,1,ブルーフラッグ
5.7,2.6,3.5,1,1,ブルーフラッグ
5.5,2.4,3.8,1.1,1,ブルーフラッグ
5.5,2.4,3.7,1,1,ブルーフラッグ
5.8,2.7,3.9,1.2,1,ブルーフラッグ
6,2.7,5.1,1.6,1,ブルーフラッグ
5.4,3,4.5,1.5,1,ブルーフラッグ
6,3.4,4.5,1.6,1,ブルーフラッグ
6.7,3.1,4.7,1.5,1,ブルーフラッグ
6.3,2.3,4.4,1.3,1,ブルーフラッグ
5.6,3,4.1,1.3,1,ブルーフラッグ
5.5,2.5,4,1.3,1,ブルーフラッグ
